datetime,open,high,low,close,volume
2014-06-02 01:00:00,71.21,72.0,70.6,71.64,2660182
2014-06-03 01:00:00,71.33,72.085,70.84,71.45,2230845
2014-06-04 01:00:00,71.26,71.86,71.14,71.61,1937949
2014-06-05 01:00:00,71.51,72.0,71.23,71.87,2728889
2014-06-06 01:00:00,72.28,72.35,71.24,71.63,1586605
2014-06-09 01:00:00,71.88,72.5,71.47,71.79,1741993
2014-06-10 01:00:00,71.75,72.25,71.5,71.86,1640921
2014-06-11 01:00:00,71.67,72.3851,71.35,71.75,2494262
2014-06-12 01:00:00,71.65,72.04,71.2,71.76,1360359
2014-06-13 01:00:00,72.18,72.45,70.91,71.42,1350784
2014-06-16 01:00:00,71.47,71.94,70.6,70.88,1566831
2014-06-17 01:00:00,70.59,71.62,70.59,71.48,1381680
2014-06-18 01:00:00,71.58,71.88,70.5501,71.22,1383390
2014-06-19 01:00:00,71.13,71.32,70.34,70.93,1273351
2014-06-20 01:00:00,71.16,71.95,70.87,71.57,2183436
2014-06-23 01:00:00,71.61,71.96,70.79,71.24,1334908
2014-06-24 01:00:00,71.78,72.3,70.63,70.67,1530364
2014-06-25 01:00:00,70.58,71.7,70.06,71.63,1282668
2014-06-26 01:00:00,71.72,71.8699,70.38,70.96,812603
2014-06-27 01:00:00,70.74,71.17,70.25,70.94,1693461
2014-06-30 01:00:00,70.92,72.07,70.92,72.07,1780153
2014-07-01 01:00:00,72.48,74.13,72.35,74.03,2142945
2014-07-02 01:00:00,73.58,74.6,73.58,74.32,1608079
2014-07-03 01:00:00,74.67,75.37,74.4101,75.18,799384
2014-07-07 01:00:00,75.43,75.55,74.43,74.53,1906662
2014-07-08 01:00:00,74.33,74.5,72.1,73.39,1916881
2014-07-09 01:00:00,73.66,74.23,73.09,74.23,979856
2014-07-10 01:00:00,72.07,73.54,72.05,73.15,1547864
2014-07-11 01:00:00,73.27,73.48,72.67,73.2,1251708
2014-07-14 01:00:00,74.57,74.8995,73.41,74.04,1224204
2014-07-15 01:00:00,74.01,74.38,72.69,73.42,1455611
2014-07-16 01:00:00,73.11,74.38,72.75,73.65,1518000
2014-07-17 01:00:00,73.26,73.67,71.66,71.9,1781783
2014-07-18 01:00:00,72.74,75.26,72.6101,75.0,3395536
2014-07-21 01:00:00,74.52,75.5,74.49,75.42,1536948
2014-07-22 01:00:00,75.58,76.44,75.3,75.39,2399734
2014-07-23 01:00:00,75.7,75.71,73.59,73.63,2445018
2014-07-24 01:00:00,73.7,73.89,72.27,72.51,2067634
2014-07-25 01:00:00,72.28,72.3,69.71,69.92,3685292
2014-07-28 01:00:00,70.02,70.75,69.14,70.51,3181347
2014-07-29 01:00:00,70.4,71.172,69.84,69.88,1911051
2014-07-30 01:00:00,70.95,71.04,69.72,70.51,1754486
2014-07-31 01:00:00,70.01,70.3,68.8,69.38,1847624
2014-08-01 01:00:00,69.92,70.71,68.71,70.44,1914120
2014-08-04 01:00:00,70.32,71.6,69.93,71.34,1545231
2014-08-05 01:00:00,70.82,71.4174,69.84,70.12,1541491
2014-08-06 01:00:00,69.8,70.97,69.76,70.292,1035388
2014-08-07 01:00:00,70.89,70.89,69.45,69.63,1122213
2014-08-08 01:00:00,69.73,70.495,69.32,70.43,1282169
2014-08-11 01:00:00,70.51,71.45,70.51,70.82,1417432
2014-08-12 01:00:00,70.89,71.39,70.46,71.15,942104
2014-08-13 01:00:00,71.08,72.13,71.08,71.97,1083626
2014-08-14 01:00:00,72.68,74.23,72.68,73.84,1899670
2014-08-15 01:00:00,74.54,74.89,73.42,74.79,2114347
2014-08-18 01:00:00,75.31,75.4,74.35,75.37,1253322
2014-08-19 01:00:00,75.58,76.62,75.43,75.62,1873388
2014-08-20 01:00:00,75.67,76.5,75.64,76.38,1141790
2014-08-21 01:00:00,76.13,76.64,75.75,76.27,1555035
2014-08-22 01:00:00,76.51,76.51,75.51,76.21,1583888
2014-08-25 01:00:00,77.0,77.21,75.42,75.77,1711656
2014-08-26 01:00:00,75.86,76.15,75.2701,75.955,1354364
2014-08-27 01:00:00,76.0,76.51,75.51,76.16,1345278
2014-08-28 01:00:00,75.54,76.49,74.95,76.36,1858681
2014-08-29 01:00:00,81.82,84.8,76.5013,82.09,6293613
2014-09-02 01:00:00,82.97,85.14,82.3956,85.02,4160673
2014-09-03 01:00:00,85.27,86.19,84.5,85.39,3269412
2014-09-04 01:00:00,85.77,87.2499,85.47,86.09,2807083
2014-09-05 01:00:00,86.33,88.059,86.25,87.88,2659582
2014-09-08 01:00:00,87.99,89.67,87.52,88.185,2894863
2014-09-09 01:00:00,88.25,89.11,87.9601,88.405,2190120
2014-09-10 01:00:00,88.22,89.1,87.72,89.0,1885545
2014-09-11 01:00:00,88.91,89.11,87.82,89.07,1788783
2014-09-12 01:00:00,89.01,89.07,87.4,87.85,1824372
2014-09-15 01:00:00,88.14,88.24,86.27,86.71,1599883
2014-09-16 01:00:00,86.37,88.27,85.67,87.92,2115818
2014-09-17 01:00:00,87.97,88.427,87.37,87.74,1565310
2014-09-18 01:00:00,88.18,89.53,88.03,89.52,1816456
2014-09-19 01:00:00,90.13,90.88,88.9,89.1,4183446
2014-09-22 01:00:00,88.64,89.17,86.42,87.18,2386934
2014-09-23 01:00:00,87.01,87.95,86.38,87.56,2082897
2014-09-24 01:00:00,87.69,89.05,87.35,89.02,1450413
2014-09-25 01:00:00,88.84,88.84,85.77,86.46,1794044
2014-09-26 01:00:00,86.55,87.66,86.46,87.5,983419
2014-09-29 01:00:00,86.41,87.31,86.07,87.11,982688
2014-09-30 01:00:00,87.61,87.9199,86.2,87.0,1488581
2014-10-01 01:00:00,87.12,87.12,84.84,85.54,2225675
2014-10-02 01:00:00,85.08,85.4,80.84,83.21,3428083
2014-10-03 01:00:00,83.62,84.45,83.05,83.47,2065002
2014-10-06 01:00:00,84.07,84.51,82.5401,82.88,1953574
2014-10-07 01:00:00,82.42,82.68,80.97,81.03,1526700
2014-10-08 01:00:00,81.0,83.76,79.3,83.3,2768209
2014-10-09 01:00:00,82.92,83.3,80.58,80.6,1888592
2014-10-10 01:00:00,77.75,77.78,68.7501,71.36,10598126
2014-10-13 01:00:00,70.8,72.13,68.8,69.04,6524244
2014-10-14 01:00:00,72.06,72.91,69.06,72.02,6903520
2014-10-15 01:00:00,70.26,73.45,69.86,72.55,3195455
2014-10-16 01:00:00,70.67,76.0906,70.5005,75.6,3398524
2014-10-17 01:00:00,77.42,79.7,76.83,77.15,4160788
2014-10-20 01:00:00,76.67,78.0599,75.8,77.99,1437463
2014-10-21 01:00:00,78.99,82.459,78.96,82.38,2411162
2014-10-22 01:00:00,82.48,82.99,80.73,80.86,1730720
2014-10-23 01:00:00,82.14,82.9,81.12,81.38,1820460
2014-10-24 01:00:00,81.7,82.41,80.769,81.85,1126874
2014-10-27 01:00:00,81.51,81.9599,80.121,81.57,1497686
2014-10-28 01:00:00,82.16,84.24,81.58,84.2,1822997
2014-10-29 01:00:00,84.57,85.14,83.56,84.88,1421444
2014-10-30 01:00:00,83.84,84.57,81.18,82.39,1997611
2014-10-31 01:00:00,85.11,87.92,84.5,86.25,2546268
2014-11-03 02:00:00,86.44,87.88,86.09,86.34,1594372
2014-11-04 02:00:00,85.9,86.56,84.86,85.36,1828781
2014-11-05 02:00:00,85.7,86.79,84.812,86.71,1478877
2014-11-06 02:00:00,86.44,87.89,86.34,87.63,1711440
2014-11-07 02:00:00,87.84,87.93,84.74,85.04,1975103
2014-11-10 02:00:00,84.92,86.08,83.5,85.91,1436362
2014-11-11 02:00:00,85.84,86.286,85.38,86.16,792716
2014-11-12 02:00:00,85.91,87.285,85.61,87.05,1039564
2014-11-13 02:00:00,87.07,88.37,86.53,87.445,1228141
2014-11-14 02:00:00,87.56,89.05,86.31,89.015,1295517
2014-11-17 02:00:00,88.78,89.05,87.59,88.52,1120001
2014-11-18 02:00:00,88.35,91.77,88.34,91.41,2002706
2014-11-19 02:00:00,91.51,92.0,89.1,89.25,1876347
2014-11-20 02:00:00,88.84,90.92,88.02,89.93,1512112
2014-11-21 02:00:00,91.7,91.73,89.45,90.21,1746144
2014-11-24 02:00:00,90.55,91.35,90.38,91.14,1187619
2014-11-25 02:00:00,91.84,92.56,91.07,91.15,2592321
2014-11-26 02:00:00,91.58,93.86,91.58,93.78,1614303
2014-11-28 02:00:00,94.13,94.4334,92.67,93.4,869975
2014-12-01 02:00:00,93.05,93.36,90.02,90.95,1716834
2014-12-02 02:00:00,90.69,92.41,89.72,92.2,1979436
2014-12-03 02:00:00,93.03,95.51,93.03,95.13,3172741
2014-12-04 02:00:00,101.54,103.78,99.51,103.07,6200379
2014-12-05 02:00:00,103.84,105.0,101.73,103.99,2959623
2014-12-08 02:00:00,104.0,104.17,99.6556,100.71,3484193
2014-12-09 02:00:00,100.45,103.03,97.25,102.64,2291515
2014-12-10 02:00:00,102.0,103.5,99.17,99.25,2223658
2014-12-11 02:00:00,100.08,102.8,99.85,100.55,1569199
2014-12-12 02:00:00,98.98,101.18,98.83,99.2,1320121
2014-12-15 02:00:00,99.97,100.85,97.24,98.21,1679198
2014-12-16 02:00:00,97.75,99.68,96.0101,97.33,2212026
2014-12-17 02:00:00,97.33,99.85,95.5,98.99,2787499
2014-12-18 02:00:00,100.9,102.0,100.0,101.65,3328086
2014-12-19 02:00:00,101.74,102.35,99.45,100.15,6517308
2014-12-22 02:00:00,101.0,101.6,100.0,101.41,1592383
2014-12-23 02:00:00,102.34,102.5,100.57,100.78,1301175
2014-12-24 02:00:00,100.92,101.23,100.28,100.72,635768
2014-12-26 02:00:00,100.97,101.33,100.205,100.62,576169
2014-12-29 02:00:00,100.62,101.39,99.1901,101.29,1371671
2014-12-30 02:00:00,101.07,101.94,100.6,100.85,1172988
2014-12-31 02:00:00,101.1,103.03,100.43,100.59,1522579
2015-01-02 02:00:00,101.79,102.2081,99.13,100.09,1350045
2015-01-05 02:00:00,100.07,100.82,98.4,98.49,1559603
2015-01-06 02:00:00,98.95,99.08,95.18,96.25,2219434
2015-01-07 02:00:00,97.05,99.39,96.53,98.85,3090685
2015-01-08 02:00:00,100.53,104.3,100.36,103.79,3334923
2015-01-09 02:00:00,104.47,105.8,102.58,104.895,2343240
2015-01-12 02:00:00,105.07,105.64,102.716,103.16,1869822
2015-01-13 02:00:00,103.78,107.38,101.732,102.58,2433701
2015-01-14 02:00:00,101.11,103.49,100.01,103.39,2098914
2015-01-15 02:00:00,103.56,105.54,101.05,101.32,1837314
2015-01-16 02:00:00,100.69,103.91,100.31,103.82,1537485
2015-01-20 02:00:00,103.69,105.2399,102.58,104.87,1284387
2015-01-21 02:00:00,104.33,106.88,104.11,105.38,1646348
2015-01-22 02:00:00,105.98,106.49,101.52,105.2,2063857
2015-01-23 02:00:00,105.03,107.5,104.2501,106.98,1508816
2015-01-26 02:00:00,106.74,107.06,104.62,106.73,961050
2015-01-27 02:00:00,105.07,105.98,102.8201,104.79,1524274
2015-01-28 02:00:00,107.12,108.34,104.86,105.0,2330190
2015-01-29 02:00:00,104.63,106.6,102.27,106.53,1584183
2015-01-30 02:00:00,105.29,106.73,102.62,102.88,1693802
2015-02-02 02:00:00,103.25,103.49,99.16,102.42,2158053
2015-02-03 02:00:00,102.5,103.7199,101.36,103.2,1538967
2015-02-04 02:00:00,102.93,105.28,102.45,104.8,1665825
2015-02-05 02:00:00,104.74,106.22,103.75,106.2,1658534
2015-02-06 02:00:00,106.27,107.11,104.26,104.74,1068155
2015-02-09 02:00:00,103.95,104.35,101.82,102.24,2034641
2015-02-10 02:00:00,103.04,107.46,102.8876,107.04,2039752
2015-02-11 02:00:00,106.79,108.3,106.33,107.94,1716850
2015-02-12 02:00:00,108.8,110.04,108.46,109.7,2107194
2015-02-13 02:00:00,110.0,110.2,108.09,110.15,1461641
2015-02-17 02:00:00,110.2,111.345,109.09,110.87,1531170
2015-02-18 02:00:00,110.32,110.59,109.29,110.0,1668098
2015-02-19 02:00:00,110.0,111.1,109.645,110.9,1319628
2015-02-20 02:00:00,111.43,112.16,110.46,112.06,1928643
2015-02-23 02:00:00,113.0,113.23,111.96,112.85,2385505
2015-02-24 02:00:00,113.5,113.6,111.61,113.18,2321296
2015-02-25 02:00:00,113.29,113.9,112.31,112.68,3821591
2015-02-26 02:00:00,123.24,129.89,123.05,129.25,8926267
2015-02-27 02:00:00,128.7,128.7,126.14,127.62,3382451
2015-03-02 02:00:00,127.21,130.87,127.21,129.02,2789279
2015-03-03 02:00:00,128.24,128.94,127.57,128.22,1869031
2015-03-04 02:00:00,127.69,129.88,124.37,129.4,3614312
2015-03-05 02:00:00,129.36,131.54,128.78,130.57,2169454
2015-03-06 02:00:00,130.0,130.49,127.5,127.89,2232922
2015-03-09 01:00:00,127.79,128.59,126.93,127.12,1783472
2015-03-10 01:00:00,125.72,126.93,124.51,125.12,1768828
2015-03-11 01:00:00,125.3,126.47,124.52,124.66,1774208
2015-03-12 01:00:00,122.88,126.21,121.55,126.12,2230455
2015-03-13 01:00:00,125.71,126.75,123.94,125.0,1841538
2015-03-16 01:00:00,126.87,130.45,126.7,129.865,2307713
2015-03-17 01:00:00,128.81,129.6,127.5,129.1,1901689
2015-03-18 01:00:00,128.66,131.28,127.69,130.44,2125049
2015-03-19 01:00:00,130.5,132.9495,130.02,132.04,2446101
2015-03-20 01:00:00,133.43,134.18,132.2,133.29,5552219
2015-03-23 01:00:00,135.0,136.28,133.89,134.44,2384859
2015-03-24 01:00:00,134.97,135.3673,132.88,133.12,2581919
2015-03-25 01:00:00,132.62,133.33,124.4,124.43,4885263
2015-03-26 01:00:00,120.26,125.14,116.96,124.71,4506796
2015-03-27 01:00:00,124.99,129.0,124.85,128.21,2429733
2015-03-30 01:00:00,129.83,130.9,128.3,130.55,1952318
2015-03-31 01:00:00,129.31,129.5,126.73,126.98,1640203
2015-04-01 01:00:00,126.66,126.96,123.61,125.63,2183046
2015-04-02 01:00:00,126.11,126.91,124.63,125.02,1450835
2015-04-06 01:00:00,123.37,126.73,122.5,125.825,1422711
2015-04-07 01:00:00,126.51,127.17,125.3957,125.65,1613243
2015-04-08 01:00:00,125.47,127.4699,125.3,126.79,1360713
2015-04-09 01:00:00,125.84,127.94,125.65,127.22,1396054
2015-04-10 01:00:00,127.56,127.97,126.07,126.82,1166882
2015-04-13 01:00:00,127.25,127.4664,125.1,125.345,1048325
2015-04-14 01:00:00,125.06,125.34,122.14,123.98,1605075
2015-04-15 01:00:00,124.77,126.3,124.65,125.9,1689784
2015-04-16 01:00:00,125.07,126.1599,124.8,125.33,1545578
2015-04-17 01:00:00,123.69,124.28,120.94,121.85,2681726
2015-04-20 01:00:00,122.5,123.82,122.2,123.025,1329947
2015-04-21 01:00:00,124.32,125.05,122.94,123.1,2061554
2015-04-22 01:00:00,123.91,128.0,122.75,127.895,2257971
2015-04-23 01:00:00,125.35,125.46,122.55,124.07,2805254
2015-04-24 01:00:00,123.73,123.73,115.87,119.5,5505870
2015-04-27 01:00:00,120.0,121.94,118.72,120.15,2732020
2015-04-28 01:00:00,120.38,121.0,114.56,117.45,3103101
2015-04-29 01:00:00,116.02,117.52,114.751,117.03,2090310
2015-04-30 01:00:00,116.69,118.94,116.26,116.88,2133943
2015-05-01 01:00:00,117.92,123.43,117.88,122.8,2533922
2015-05-04 01:00:00,122.83,123.8468,120.86,121.16,1420702
2015-05-05 01:00:00,120.1,120.67,116.63,116.785,2208950
2015-05-06 01:00:00,117.84,118.37,115.39,116.775,1447542
2015-05-07 01:00:00,120.0,123.64,120.0,122.48,2354180
2015-05-08 01:00:00,123.2,124.93,122.73,123.33,1484612
2015-05-11 01:00:00,123.57,123.86,122.5975,122.81,1241770
2015-05-12 01:00:00,122.02,123.58,121.3,122.95,1026435
2015-05-13 01:00:00,123.63,124.84,122.31,123.13,1186617
2015-05-14 01:00:00,124.14,128.68,123.6401,126.94,2327927
2015-05-15 01:00:00,127.79,129.5,126.57,127.87,2263082
2015-05-18 01:00:00,127.95,130.4,127.28,130.18,1798419
2015-05-19 01:00:00,130.86,131.85,129.25,129.47,1605267
2015-05-20 01:00:00,129.94,131.075,128.11,129.11,1872132
2015-05-21 01:00:00,129.51,130.03,127.84,129.59,2130951
2015-05-22 01:00:00,129.82,133.8299,129.82,132.64,2285551
2015-05-26 01:00:00,134.36,134.53,130.64,131.3,2678069
2015-05-27 01:00:00,132.09,144.823,131.6201,141.49,11424785
2015-05-28 01:00:00,145.01,145.4725,136.0,142.38,24912338
2015-05-29 01:00:00,144.12,149.24,144.11,148.07,11824429
2015-06-01 01:00:00,147.55,150.5,145.15,146.62,8357903
2015-06-02 01:00:00,146.41,146.67,143.1401,144.16,4126385
2015-06-03 01:00:00,146.0,146.0,142.81,143.06,3045007
2015-06-04 01:00:00,141.98,143.435,140.48,141.2,2801749
2015-06-05 01:00:00,140.97,144.04,139.31,143.81,3859274
2015-06-08 01:00:00,143.57,143.77,137.53,138.63,5442174
2015-06-09 01:00:00,138.95,140.73,136.5101,140.21,4407137
2015-06-10 01:00:00,139.93,143.98,139.84,142.86,4261656
2015-06-11 01:00:00,142.18,143.26,141.02,141.99,3151681
2015-06-12 01:00:00,141.29,141.48,139.8801,140.47,1914513
2015-06-15 01:00:00,139.16,144.02,139.01,143.12,3456545
2015-06-16 01:00:00,142.7,143.49,141.38,141.99,2099750
2015-06-17 01:00:00,141.5,142.5,139.4565,140.685,2542890
2015-06-18 01:00:00,140.73,143.75,140.73,143.0,2529800
2015-06-19 01:00:00,143.01,143.91,141.6,142.89,2688091
2015-06-22 01:00:00,144.16,145.14,142.0,143.275,2285310
2015-06-23 01:00:00,143.96,143.96,140.86,141.64,2149691
2015-06-24 01:00:00,142.06,142.22,139.83,139.97,2240180
2015-06-25 01:00:00,140.13,141.05,138.83,139.23,1754678
2015-06-26 01:00:00,137.0,139.04,134.75,135.15,7179840
2015-06-29 01:00:00,132.85,135.21,131.04,132.01,4047290
2015-06-30 01:00:00,133.8,134.38,132.12,132.93,2869544
2015-07-01 01:00:00,134.41,137.7,134.315,135.5,4306490
2015-07-02 01:00:00,135.6,137.75,135.35,137.64,3279652
2015-07-06 01:00:00,136.16,137.61,133.87,134.2,3018809
2015-07-07 01:00:00,133.95,134.45,126.16,132.84,5926944
2015-07-08 01:00:00,130.1,131.34,126.86,128.05,5137126
2015-07-09 01:00:00,130.18,131.36,123.72,124.68,7346882
2015-07-10 01:00:00,126.5,130.82,126.5,129.84,5094891
2015-07-13 01:00:00,131.38,131.38,128.46,129.18,2530399
2015-07-14 01:00:00,129.35,132.48,128.51,132.3,2628918
2015-07-15 01:00:00,131.67,133.49,130.82,131.72,2309967
2015-07-16 01:00:00,133.63,134.77,130.89,134.7,3397696
2015-07-17 01:00:00,134.96,135.0,131.96,133.66,2900008
2015-07-20 01:00:00,134.55,135.62,133.75,134.64,2356334
2015-07-21 01:00:00,135.1,136.38,134.14,134.51,3153230
2015-07-22 01:00:00,127.04,129.998,125.38,129.59,6134647
2015-07-23 01:00:00,131.18,135.0,130.5,131.97,3060810
2015-07-24 01:00:00,133.51,133.85,128.34,128.48,3631061
2015-07-27 01:00:00,127.35,127.5,124.1,124.65,3489346
2015-07-28 01:00:00,125.58,129.55,123.52,128.42,2786940
2015-07-29 01:00:00,128.37,129.12,125.45,128.58,3340717
2015-07-30 01:00:00,125.74,128.795,125.07,127.65,3916889
2015-07-31 01:00:00,128.34,128.34,124.96,125.14,3059283
2015-08-03 01:00:00,126.42,127.49,124.24,125.8,2727263
2015-08-04 01:00:00,125.55,125.55,118.76,123.47,4746709
2015-08-05 01:00:00,123.0,125.69,121.0,124.75,3416249
2015-08-06 01:00:00,125.04,125.4,120.6,123.27,4605158
2015-08-07 01:00:00,121.02,123.9799,120.82,122.55,3052867
2015-08-10 01:00:00,123.49,127.4,123.002,127.28,2890660
2015-08-11 01:00:00,125.64,126.23,122.92,124.21,2674448
2015-08-12 01:00:00,121.59,126.68,120.62,125.73,2733953
2015-08-13 01:00:00,125.62,126.82,124.011,124.19,1457171
2015-08-14 01:00:00,124.0,124.5,121.17,121.96,2650230
2015-08-17 01:00:00,121.32,125.52,120.8,125.52,2129300
2015-08-18 01:00:00,125.77,125.77,121.78,122.24,1950181
2015-08-19 01:00:00,121.58,122.78,119.303,121.45,3089417
2015-08-20 01:00:00,120.08,120.64,115.03,115.03,4175550
2015-08-21 01:00:00,112.75,115.494,111.33,111.45,5647227
2015-08-24 01:00:00,101.09,115.01,100.0,109.94,6903990
2015-08-25 01:00:00,114.13,115.0,108.2,108.51,4392105
2015-08-26 01:00:00,112.6,116.74,111.18,116.2,5935382
2015-08-27 01:00:00,120.5,127.0,120.38,126.26,9188191
2015-08-28 01:00:00,125.53,127.72,124.69,127.62,3632201
2015-08-31 01:00:00,126.64,128.04,125.0,125.97,3008702
2015-09-01 01:00:00,121.52,125.02,118.1,119.37,4974919
2015-09-02 01:00:00,122.15,124.07,120.16,124.04,3670043
2015-09-03 01:00:00,125.4,126.9,123.21,123.77,2995375
